아티스트e	아티스트k	장르	멤버	역할	앨범	곡	프로그램	브랜드	음원플랫폼	수상	기획사	행사	외국지명	팬덤k	팬덤e	기타	배우e	배우k	한국지명	직업	행사2	수상2	방송플랫폼	작품	장르2	기업
			사나			음 (MMM)														도선사						
			산			이리오너라														향해사						
			상연			이별길														기관사						
			샤오쥔			죽겠다														승무원						
			서은광			지못미														스튜어디스						
			서현			쩔어														기장						
			선우			천국														파일럿						
			성민			취향저격														정비사						
			성찬			커플														관제사						
			성화			컬러링														보건의료인						
			성훈			크레용														의료인						
			세림			탕!♡														의사						
			세은			판타스틱 베이비														간호사						
			세훈			하루하루														치과의사						
			셔누			휘파람														한의사						
			소라			넥스트레벨														조산사						
			손나은			별빛사랑														의료기사						
			솔라			헤이마마														물리치료사						
			송하영																	작업치료사						
			쇼타로																	위생사						
			수민																	기공사						
			수빈																	약사						
			수영																	영양사						
			수호																	응급구조사						
			슈가																	보건의료정보관리사						
			슬기																	임상심리사						
			승관																	한약사						
			승민																	간호조무사						
			승휘																	수산질병관리사						
			시우민																	수의사						
			시원																	침구사						
			시은																	언어재활사						
			신동																	감리자						
			신지윤																	개발자						
			써니																	건축가						
			아린																	시공자						
			아이린																	목수						
			아이사																	배관공						
			아이엔																	광부						
			아이엠																	기술자						
			안지영																	대장장이						
			앨런																	조향사						
			양양																	프로그래머						
			에릭																	SI						
			에스쿱스																	SM						
			여상																	나무꾼						
			여진																	농부						
			연준																	도축업자						
			영빈																	사냥꾼						
			영훈																	어부						
			예리																	플로리스트						
			예성																	해녀						
			예지																	원예						
			오하영																	축산업						
			온유																	농협						
			올리비아 혜																	수협						
			우빈																	축협						
			우연																	산림조합						
			우영																	신협						
			우원																	양식장						
			우지																	이장						
			우지윤																	촌장						
			원진																	토호						
			웬디																	유지						
			윈윈																	미식가						
			윈터																	바리스타						
			유나																	바텐더						
			유리																	쉐프셰프						
			유아																	소믈리에						
			유타																	요리사						
			유태양																	요식업						
			육성재																	제빵사						
			윤																	주방장						
			윤보미																	파티시에						
			윤산하																	푸드스타일리스트						
			윤아																	푸드파이터						
			윤호																	요리연구가						
			은혁																	가사도우미						
			이나경																	건물주						
			이대휘																	관리자						
			이민혁																	에이전트						
			이브																	머슴						
			이새롬																	메이드						
			이서연																	비서						
			이수진																	사육사						
			이재희																	식모						
			이창섭																	운영자						
			이채영																	자영업자						
			이특																	집사						
			인성																	파출부						
			임현식																	보모						
			장규리																	수위						
			재민																	패션디자이너						
			재윤																	미용사						
			재이																	코디네이터						
			쟈니																	펀드						
			전웅																	손해사정사						
			정국																	펀드매니저						
			정모																	벤처캐피탈						
			정연																	은행원						
			정우																	보험계리사						
			정원																	은행텔러						
			정은지																	전당포						
			정한																	도박사						
			제노																	카지노						
			제이																	사채업자						
			제이콥																	공무원						
			제이크																	외교관						
			제이홉																	대사						
			조슈아																	공사						
			조아																	영사						
			조이																	통역						
			종현																	정치인						
			종호																	대통령						
			주연																	총리						
			주학년																	장관						
			주헌																	총통						
			주호																	수상						
			준																	대신						
			지민																	국회의원						
			지성																	상원의원						
			지젤																	하원의원						
			지한																	지방의원						
			지호																	시의원						
			지효																	군의원						
			진																	자치구의원						
